household_key,AGE_DESC,INCOME_DESC,MARITAL_STATUS_CODE,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,838738,907014,858918,867188,831536,830750,1070015,848970,840102
27,45-54,25-34K,U,Probable Renter,Single Female,1,None/Unknown,847982,866227,959409,861445,1057777,7167249,1052920,7441391,1101589,1102416
28,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,854900,6533911,992730,5996184,6533368,1121741,6534881,1062973,892531
29,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,935284,995242,1009343,985119,1026346,849288,1055283,915621,918400,883404
30,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,6534178,914190,1047486,995242,900491,923746,1019744,1036139,1011861
31,35-44,35-49K,B,Homeowner,2 Adults No Kids,2,None/Unknown,924423,858918,6533889,6534178,6534166,848015,844179,1044078,1126899,1043064
32,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,845896,840361,860776,397896,6534178,995785,8293447,1093359,820222,1137484
33,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1116682,1096036,1106523,899838,871756,1128665,1019744,8090537,920844
34,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1092026,993638,1044805,1110255,1122405,1037050,1035121,819927,995816
35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,847982,6534178,833648,943141,1126899,1058997,914190,909472,838258,927291
36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,845307,868205,861445,6534178,929668,962229,1096317,1053763,995242,925626
37,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,860776,6533889,6534178,1097001,1053690,916381,844165,898448,1067695,1092026
38,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1082185,926087,965956,1048013,1020768,1125891,969231,986947,6632283,5565664
39,35-44,125-149K,A,Homeowner,2 Adults No Kids,2,None/Unknown,823721,834484,840361,865178,860776,907014,872137,6534178,1127716,995785
40,45-54,Under 15K,U,Homeowner,2 Adults No Kids,2,None/Unknown,820165,834484,840361,830503,860776,865178,855488,856942,866227,1404121
41,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,835796,976998,865705,1120009,1044805,1055853,1082185,975155,10204837,958657
42,65+,50-74K,U,Unknown,Single Male,1,None/Unknown,820165,953476,839656,976998,867519,1060673,6602697,955879,897120,981760
43,35-44,15-24K,B,Homeowner,2 Adults Kids,5+,3+,830156,861272,6534178,1120741,844165,821787,6391137,874736,984677,1010190
44,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,860776,1009187,951590,914190,904360,1048440,849843,1069621,970202,961620
45,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8090537,969687,1070015,873713,934097,1034227,907014,12384805,955910,9553031
46,45-54,150-174K,A,Homeowner,2 Adults Kids,5+,3+,834631,835618,837569,838867,845078,844818,865178,859191,867188,6544236
47,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,827656,845307,861272,849250,848761,859191,872137,861990,6533681
48,19-24,35-49K,U,Homeowner,2 Adults No Kids,2,None/Unknown,841905,849264,885356,6533889,6534178,826816,996064,968215,846760,7168759
49,35-44,35-49K,A,Homeowner,2 Adults No Kids,2,None/Unknown,820165,840361,847982,860776,856772,6534178,893501,1070820,935200,1101771
50,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,911215,917277,838602,972456,995242,1005186,849202,1088835,874736,897243
51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,967395,1082212,986947,1015612,962229,1101174,1029743,898510
52,45-54,50-74K,B,Homeowner,2 Adults No Kids,2,None/Unknown,827671,831509,834484,840361,879280,6544236,6534178,1082185,878880,1056740
53,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,904360,6534178,964853,5569471,1099802,8064794,13906641,921197,902238,1105623
54,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,989157,1038217,6533608,9337581,823721,821867,819312,820165,821815,823990
55,65+,35-49K,A,Homeowner,2 Adults No Kids,2,None/Unknown,849843,844165,1097280,889319,1007195,883932,995242,7157749,990797,1128240
56,55-64,100-124K,A,Homeowner,2 Adults Kids,4,2,820165,834484,830304,834631,849264,866227,878285,867188,6534178,891415
57,45-54,35-49K,B,Homeowner,2 Adults No Kids,2,None/Unknown,860776,6534178,6534166,1133018,947147,861615,931108,12757506,13072793,6534815
58,25-34,150-174K,A,Homeowner,2 Adults Kids,4,2,820165,821867,834484,840361,865178,866227,860776,6534178,5703832,1095275
59,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,865456,6534178,1013321,845288,957951,893868,883404,8119319,847637
60,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1126420,17105530,9878763,961554,971585,1013321,828427,1029743,5588817
61,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,872137,5569471,5569230,975974,1103317,1084276,10285144,1105498,968269,1056509
62,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,242044,43256,209046,201704,42100,45240,32916,29629,239371,280634
63,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,838738,1062572,937371,892144,5588873,7431408,897733,926958,5587039,5570958
64,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,866227,847982,867188,857006,882138,976998,894236,1123086,1031866
65,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,860776,1124729,1070820,986912,1029743,961889,837107,962229,914190
66,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1096791,846081,1007244,1119879,998158,1122405,1085601,1029171,905539,1005107
67,45-54,Under 15K,A,Homeowner,2 Adults Kids,5+,3+,820165,827656,844818,840361,849264,867188,860776,866227,879280,6534178
68,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,831509,844818,866227,857390,1004906,397896,6534178,861445
69,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,827656,823990,830503,834484,840361,907014,866227,1050131,824555
70,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,894236,1039156,995242,925626,887691,5995692,1055863,821867,823721,821815
71,35-44,25-34K,A,Homeowner,Single Female,2,None/Unknown,834484,840361,860776,866227,6534178,1008288,926905,845537,1056509,1044078
72,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,823721,834484,840361,865178,860776,866227,861272,5585510,6534178
73,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,6533889,850795,1070820,1085604,863337,1130581,10456613,1128016,5995777
74,65+,15-24K,A,Homeowner,2 Adults No Kids,2,None/Unknown,820165,844818,1082185,1077555,909868,10204735,1085369,1126045,830795,911915
75,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,707683,545926,480014,721353,599207,562184,801564,5552150,700242,6019592
76,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,992985,1007195,1054080,6534177,9526281,7024830,851287,958909,1066685,927191
77,35-44,100-124K,A,Homeowner,2 Adults Kids,5+,3+,829323,840361,856772,901062,867188,1106523,1126899,996123,6979128,1003188
78,55-64,25-34K,U,Unknown,Single Male,1,None/Unknown,840361,1039627,5591154,9420336,955910,968932,849843,5995609,9573206,1041476
79,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,830304,864741,867188,6534178,6533889,1070015,862349,1053690,1067271,1082185
80,45-54,50-74K,U,Homeowner,2 Adults No Kids,2,None/Unknown,820165,834484,840361,866227,858918,6534178,889774,947200,1082185,850795
81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,908213,995242,1044078,901403,1029743,981944,845193,953134,999971
82,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1132763,819308,1084036,849202,1119761,831628,968215,825716,1070702,12599756
83,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,6534178,819302,1127831,1065593,845208,923746,1082185,850133
84,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,866227,6534178,889774,1029624,920025,1001646,9575181,903529,1080414
85,25-34,35-49K,U,Unknown,Single Male,1,None/Unknown,820165,823721,840361,834484,961554,6534178,958567,826249,1021519,961220
86,65+,35-49K,B,Homeowner,Single Male,1,None/Unknown,831509,866227,6534166,865026,1029743,8090565,9707240,8090519,8090612,989824
87,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1018364,955240,975490,968297,1030755,12811006,1079528,1008820,1044507,6391089
88,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,845078,840361,841266,888104,860776,857390,908213,913270
89,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,860776,9879409,956995,9487769,986947,823721,821867,819312,820165,821815
90,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6533889,862535,1082185,942299,1070820,986912,914077,998828,872146,1022097
91,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1056651,1024833,854483,838637,1029743,989101,989275,968882,835841
92,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,860776,1404121,934503,987838,994928,938700,1049822,1037451
93,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1058997,8119157,888476,9655528,833787,1092945,1011692,1135059,8119128
94,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1005186,1022981,1115874,8160319,5592681,1028782,928238,12130522,1080821
95,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,847982,868401,871570,6534178,6533889,995242,908531,1085229,1029743
96,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1015296,1072523,911878,1068292,1007195,911693,835300,1138189,5569230,908846
97,45-54,75-99K,U,Unknown,Single Female,1,None/Unknown,835618,840361,845307,860776,907014,867188,6534178,995242,927191,1050229
98,35-44,35-49K,U,Unknown,1 Adult Kids,2,1,820165,904360,7440663,862349,942088,1128647,1095040,1091858,7167249,913202
99,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,847982,854496,857006,6534178,886125,1015826,995785,995242,824073,1013528
100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,845078,856772,6534178,916122,1089225,1117964,939965,831536,947107,1116096
101,45-54,Under 15K,A,Homeowner,2 Adults Kids,4,2,834631,866227,878285,6534178,925626,909894,1090931,8090521,1079820,5569471
102,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,914190,9575181,1136719,5568489,856800,919423,1080279,915349,833870,864276
103,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1106523,961846,16809471,913894,978376,7410290,843259,1089766,939752,1062973
104,35-44,35-49K,A,Homeowner,2 Adults Kids,5+,3+,820165,840361,834631,831509,837569,845078,856772,860776,847982,854496
105,25-34,Under 15K,B,Homeowner,1 Adult Kids,3,2,834484,831509,840361,849264,860776,854496,907014,914190,1106301,1082185
106,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1005274,840011,995785,1003600,7410016,7410215,7410290,1131310,919766
107,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,929668,1022872,856772,908213,827180,7442008,841365,1053690,1007195
108,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,860776,882138,6534178,1127831,980823,1107597,1024306,1123086,996123,9527309
109,25-34,15-24K,A,Homeowner,Single Female,2,None/Unknown,820165,840361,861272,1082185,12731436,1058997,830960,835098,1135886,1106601
110,25-34,35-49K,U,Homeowner,Single Female,1,None/Unknown,823990,834484,860776,847982,6534178,927191,951590,1133018,878996,849843
111,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,829323,6534178,1133018,9677874,847982,901062,932179,852486,1127831,1106523
112,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,830887,9527159,1028816,1105615,924427,907466,879977,1029504,12781869
113,35-44,125-149K,A,Homeowner,2 Adults Kids,4,2,827656,840361,834484,830503,838867,845078,866227,860776,6534178,1404121
114,25-34,35-49K,U,Homeowner,2 Adults No Kids,2,None/Unknown,840361,861272,6534178,1029743,926011,934848,948150,977791,5568489,1044665
115,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,830127,829323,904360,914190,397896,6534178,930917,1132280,908531
116,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,847982,872137,1019911,850058,908531,1019637,1071939,5569230,923746,1013703
117,65+,35-49K,B,Probable Owner,2 Adults No Kids,2,None/Unknown,820165,821867,840361,830503,867188,866227,856772,860776,858918,6534178
118,45-54,35-49K,B,Homeowner,Single Female,1,None/Unknown,820165,841035,860776,6533889,6534178,835864,1127831,909638,849843,1003178
119,45-54,125-149K,U,Unknown,Single Male,1,None/Unknown,834484,865501,995242,1029743,908846,1082185,972456,861272,867519,1119399
120,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1082311,1007136,1056427,1110843,857294,9264879,821867,823721,821815
121,45-54,25-34K,U,Unknown,2 Adults Kids,3,1,830775,840361,849264,847982,907014,6534178,8090537,995242,923746,823915
122,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823990,856772,839849,940947,962118,1102959,831517,963703,947654,864033
123,45-54,35-49K,B,Homeowner,2 Adults No Kids,2,None/Unknown,835618,840361,866227,847982,6534178,1056509,826249,1126899,896617,1038985
124,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,866227,859191,1106523,9526410,13511722,1077555,833025,847982,914190
125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,867188,854496,6534166,6544236,6534178,8090537,5716076,890689
126,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,860776,981760,1101173,866227,897125,907014,1044078,917816,1096036
127,45-54,25-34K,U,Unknown,Single Female,1,None/Unknown,820165,834484,845078,840361,849264,867188,865456,865178,914190,904360
128,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,6534166,1015296,1082185,5568322,833866,15777852,969932,1003188
129,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,840361,961269,929668,939578,995242,1058997,1082185,888178,5584007
130,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,951590,860776,823862,1022357,910032,1105100,9362429,6464086,5573314
131,45-54,50-74K,U,Unknown,2 Adults No Kids,2,None/Unknown,820165,834484,840361,904360,866227,860776,397896,6534178,13007389,1071333
132,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,860776,6534178,1058997,1082185,1126899,1108094,1022254,870428
133,45-54,Under 15K,A,Homeowner,Single Male,2,None/Unknown,820165,830503,834484,844818,840361,1007195,995242,1103741,1082185,5569230
134,55-64,25-34K,A,Homeowner,Single Female,2,None/Unknown,826695,834484,840361,914190,856772,6533889,6534178,823704,832335,995242
135,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,845307,866227,862349,959455,6395912,926422,918150,861272,898121
136,45-54,50-74K,U,Unknown,Unknown,1,None/Unknown,823990,860776,5569349,1106523,938700,830750,883404,865511,8090545,949965
137,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,821815,849843,1126899,1119312,1082185,961554,9526100,1058997,908531,860776
138,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,840361,845307,854920,904360,1080414,908346,987480,967762,923746
139,35-44,75-99K,B,Homeowner,Single Male,1,None/Unknown,837569,860776,847982,6534178,1058997,1074530,1082185,879755,978983,1068984
140,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,844818,845078,871570,8090521,879755,1132763,1106523,1022795,9245462
141,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,1153346,6534166,6534178,968215,863699,1033220,874966,1121808,866871
142,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1082212,997011,1093966,906202,1074524,1013826,1070015,893739,944588,893729
143,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,840361,845078,908213,856772,6534178,995242,1090909,844165
144,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823990,865178,857006,830750,9837637,1062966,1114597,1118787,901976,903674
145,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,872137,5589752,1017061,5569471,13842154,6533936,868764,1029743
146,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,847982,6534178,1082310,927191,1029743,995242,860776,925449,843306,1095883
147,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823990,834484,840361,847982,860651,6534178,1133018,908531,1093334,899618
148,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5584847,1003487,995242,866227,1014314,867020,1053763,5568489,989075,951590
149,45-54,35-49K,U,Homeowner,2 Adults No Kids,2,None/Unknown,823721,834484,830775,830304,860776,901062,904360,882138,6534178,1004906
150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,995242,1126404,867709,851129,1139184,848971,942693,1125891,846482,880377
151,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,6533889,999581,932006,1128955,9420067,1028473,897954,916122,963365
152,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823990,840361,914190,5569374,840255,8091225,6463477,1013321,1126252,1014675
153,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,6534178,976998,1128900,852035,8011282,8011285,965331,822677,916767
154,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,847982,6534178,844165,1030362,839094,900145,1101858,899838,6513714,1074333
155,35-44,50-74K,B,Homeowner,2 Adults Kids,3,1,827671,840361,845307,854496,6533889,9527158,7440663,9526563,12648296,1015280
156,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,845078,847982,867188,6534178,1080414,9526254,1082185,1063359,942088
157,19-24,15-24K,U,Homeowner,2 Adults No Kids,2,None/Unknown,840361,861272,865178,857540,6410464,879948,962229,995055,1131550,2593357
158,45-54,50-74K,U,Homeowner,Unknown,1,None/Unknown,820165,840361,909894,1082185,862349,1128240,12731714,981760,1017433,904021
159,45-54,Under 15K,U,Homeowner,2 Adults No Kids,2,None/Unknown,840361,847982,6534178,1098066,8205218,994928,883404,1038217,9527487,963517
160,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,845307,866227,865456,6534178,5580525,9526786,1070820,1110843,1005186,860776
161,19-24,75-99K,A,Unknown,2 Adults Kids,3,1,823721,834484,845078,849264,851515,865456,872137,9677202,1051323,953476
162,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,861272,1122358,989275,10456575,875396,841565,902856,1029743
163,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,918907,1082020,924262,1125914,951727,897907,998564,15777852,1120532
164,45-54,35-49K,U,Unknown,2 Adults No Kids,2,None/Unknown,820165,840361,6534178,927191,1058554,968932,13115493,1029743,1075305,15927403
165,55-64,35-49K,A,Homeowner,2 Adults No Kids,2,None/Unknown,845078,840361,882138,6534178,1070820,1007195,994928,862349,1082185,1127831
166,25-34,50-74K,A,Homeowner,2 Adults Kids,3,1,823721,914190,1106523,1133018,951590,1053690,1075368,1029743,1039589,825365
167,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,893097,6391163,10356022,9297151,908318,1009046,999391,6602447,1072693,983278
168,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534166,1998660,918390,1814646,1082185,1029743,1937054,822225,1839209,1114451
169,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,6534178,1099164,1016800,8119002,938187,1037894,898719,821867,823721
170,25-34,100-124K,A,Homeowner,2 Adults Kids,4,2,823990,840361,866227,854496,904360,6534178,1007195,1082185,929341,908489
171,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,824555,995242,1053763,860776,1044078,892008,987724,908531,5591154
172,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,6533765,1098066,1053690,891632,1110263,932298,900072,1044500,951197
173,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,895540,1070820,883783,1094924,894049,862349,889420,976038,3937004,966826
174,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,845078,1050851,919999,9526410,826249,6602440,1007195,837963,930385
175,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,860548,901452,991379,1065303,1120085,919644,1037451,913490,1044971
176,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,827656,6534178,1118598,824555,896602,860776,914190,900491,1050131
177,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,859191,6534178,1082185,1127831,1039840,6703768,9526564,12696183,8203451,1058997
178,25-34,25-34K,A,Homeowner,1 Adult Kids,5+,3+,827656,963686,1092026,949023,1085604,1040807,1118120,1110031,974993,1056651
179,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5569230,930917,912137,949965,847982,938700,1039796,1022003,1080414,974265
180,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823721,830503,6534178,5569230,975155,1044805,1053763,1038217,1013928,1029743
181,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,834484,865178,6534178,1030409,1050229,951590,995242,1110793,869195
182,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,962118,1036432,1116578,1037863,1043006,1108624,8090537,1053763,981760,884897
183,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,860776,1118393,1028816,1135681,1081853,8180870,1053690,850795,1117039
184,45-54,25-34K,U,Unknown,Single Male,1,None/Unknown,821867,840361,851515,907957,869465,860548,6534178,480014,896085,5584620
185,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,849264,848761,856772,6534178,1029743,9416729,12301109,931671,964968
186,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,957951,944488,833310,890458,983310,823721,821867,819312,821815,820165
187,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,908531,983584,918733,1007195,929726,1082185,1133018,910032,902194
188,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,847982,907014,6534178,1005186,1133018,1069621,1033615,1125382
189,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1096159,996156,986912,9707498,904129,1098066,1096036,1054080,1083721
190,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,865178,1053690,951590,852015,1021116,1002765,982469,9802643,890455
191,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534166,6534178,1055863,914190,1031087,5566967,1035836,878442,13416134,1006697
192,45-54,35-49K,A,Homeowner,Single Male,2,None/Unknown,908213,907014,867188,1082212,991844,5995483,9835509,1056509,965543,5569230
193,45-54,75-99K,A,Homeowner,2 Adults No Kids,2,None/Unknown,840361,867188,6534178,397896,6410462,1029743,6704207,1054216,8090537,1021116
194,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,860776,6534178,854852,961554,6391381,1051468,951412,1082185
195,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,882138,914190,872137,6534178,1029743,821344,1082185,981760,995242
